grid_lat,grid_lon,violations,unique_vehicles,peak_hour,top_vehicle,top_location,top_station,top_junction,repeat_ratio,s_volume,s_repeat,s_spread,priority_score,rank,violations_per_day,recommended_officers
12.9765,77.577,4442,3573,9,SCOOTER,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP040 - Elite Junction,1.24,1.0,0.048,0.9813186813186813,75.9,1,29.4,3
12.964500000000001,77.577,4258,3641,0,SCOOTER,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",City Market,BTP082 - KR Market Junction,1.17,0.9945113192659026,0.03399999999999999,1.0,75.5,2,28.2,3
12.981,77.61,4215,3439,10,PASSENGER AUTO,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",Shivajinagar,BTP051 - Safina Plaza Junction,1.23,0.9931944672740707,0.046,0.9445054945054945,74.9,3,27.9,3
13.071,77.5875,3395,2585,11,SCOOTER,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",Kodigehalli,No Junction,1.31,0.965126690843908,0.06200000000000001,0.7098901098901099,70.1,4,22.5,2
12.933,77.691,3332,1516,4,SCOOTER,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",HAL Old Airport,No Junction,2.2,0.9626966856567232,0.24000000000000005,0.41620879120879123,70.0,5,22.1,2
12.9735,77.5785,2742,2035,9,SCOOTER,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP044 - Sagar Theatre Junction,1.35,0.9374148070155223,0.07000000000000002,0.5587912087912088,66.4,6,18.2,2
13.035,77.589,2441,1845,4,SCOOTER,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",Hebbala,No Junction,1.32,0.9223310057394389,0.06400000000000002,0.5065934065934066,64.5,7,16.2,2
12.9345,77.691,2069,1153,3,SCOOTER,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",HAL Old Airport,No Junction,1.79,0.900884068315853,0.158,0.31648351648351647,62.8,8,13.7,2
12.975,77.5455,2019,1128,4,SCOOTER,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",Vijayanagara,BTP020 - Hosahalli Metro Station,1.79,0.8977110482227161,0.158,0.3096153846153846,62.5,9,13.4,2
12.984,77.604,2089,1837,10,PASSENGER AUTO,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Shivajinagar,BTP211 - Central Street Junction,1.14,0.9021318669350868,0.02799999999999998,0.5043956043956044,62.4,10,13.8,2
12.978,77.577,2074,1565,9,SCOOTER,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP040 - Elite Junction,1.33,0.9011971445993224,0.06600000000000002,0.42967032967032964,62.2,11,13.7,2
13.008000000000001,77.6955,1975,1693,1,SCOOTER,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",K.R. Pura,No Junction,1.17,0.8948531336756123,0.03399999999999999,0.46483516483516485,61.5,12,13.1,2
12.981,77.598,1596,733,4,SCOOTER,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Shivajinagar,BTP042 - Minsk Square Junction (CTO),2.18,0.8672188946981015,0.23600000000000004,0.2010989010989011,60.9,13,10.6,2
12.9825,77.61,1852,1460,10,SCOOTER,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",Shivajinagar,No Junction,1.27,0.8865129870679119,0.054000000000000006,0.40082417582417584,60.6,14,12.3,2
12.978,77.5755,1833,1635,10,SCOOTER,"Subedar Chatram Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP045 - Danvanthri Road Junction,1.12,0.8851755024459528,0.02400000000000002,0.4489010989010989,60.4,15,12.1,2
12.981,77.6085,1777,1501,10,CAR,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Shivajinagar,BTP051 - Safina Plaza Junction,1.18,0.881151302270071,0.03599999999999999,0.41208791208791207,60.0,16,11.8,2
12.9765,77.5785,1740,1407,9,SCOOTER,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP044 - Sagar Theatre Junction,1.24,0.8784223059405525,0.048,0.3862637362637363,59.7,17,11.5,2
12.9825,77.607,1647,1125,8,SCOOTER,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Shivajinagar,BTP051 - Safina Plaza Junction,1.46,0.87129828938971,0.092,0.3087912087912088,59.2,18,10.9,2
12.9735,77.5515,1588,1463,11,SCOOTER,"1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",1.09,0.8665671918516883,0.018000000000000016,0.40164835164835166,58.5,19,10.5,2
